DATA,PRECIPITACAO,Temperatura Max,Temperatura Min
2007-01-01,178.20000000000002,28.89032258064516,20.051612903225806
2007-02-01,77.39999999999999,31.085714285714285,19.24642857142857
2007-03-01,98.4,31.654838709677417,18.561290322580643
2007-04-01,128.4,28.353333333333335,17.733333333333334
2007-05-01,51.0,24.096774193548388,12.516129032258064
2007-06-01,20.8,25.37,10.233333333333333
2007-07-01,123.39999999999999,23.26774193548387,10.751612903225807
2007-08-01,1.4000000000000001,26.61935483870968,11.196774193548388
2007-09-01,28.8,28.996666666666666,14.07
2007-10-01,119.19999999999999,29.79032258064516,16.654838709677417
2007-11-01,259.0,27.42,17.263333333333332
2007-12-01,124.0,29.94516129032258,18.73548387096774
2008-01-01,254.0,28.370967741935484,18.335483870967742
2008-02-01,181.0,29.144827586206898,18.8
2008-03-01,19.8,31.657142857142855,18.157142857142855
2008-04-01,16.8,29.03333333333333,15.083333333333334
2008-05-01,25.400000000000002,24.20967741935484,12.32258064516129
2008-06-01,20.4,23.696666666666665,12.943333333333333
2008-07-01,0.4,24.96451612903226,8.893548387096773
2008-08-01,52.8,26.30322580645161,13.280645161290321
2008-09-01,50.2,25.326666666666664,13.360000000000001
2008-10-01,58.4,28.016129032258064,17.4741935483871
2008-11-01,153.2,27.466666666666665,17.73
2008-12-01,197.0,28.416129032258063,18.006451612903227
2009-01-01,136.4,28.56451612903226,19.848387096774193
2009-02-01,321.4,30.821428571428573,19.942857142857143
2009-03-01,90.8,29.92258064516129,19.729032258064517
2009-04-01,64.6,26.89333333333333,16.493333333333332
2009-05-01,44.6,25.96451612903226,14.083870967741936
2009-06-01,20.4,22.45,10.506666666666666
2009-07-01,57.0,23.22258064516129,13.44516129032258
2009-08-01,18.0,25.212903225806453,12.764516129032257
2009-09-01,51.800000000000004,27.19,16.576666666666668
2009-10-01,84.4,27.92258064516129,17.76774193548387
2009-11-01,97.8,32.10333333333333,20.15
2009-12-01,259.40000000000003,29.33225806451613,19.906451612903226
2010-01-01,221.8,31.093548387096774,20.467741935483872
2010-02-01,47.0,31.932142857142857,19.87857142857143
2010-03-01,115.4,29.925806451612903,19.041935483870965
2010-04-01,39.8,27.523333333333333,16.333333333333332
2010-05-01,17.6,25.629032258064516,13.44516129032258
2010-06-01,6.4,24.05666666666667,9.686666666666667
2010-07-01,27.400000000000002,25.47741935483871,11.72258064516129
2010-08-01,0.0,25.990322580645163,10.548387096774194
2010-09-01,31.0,27.503333333333334,14.623333333333333
2010-10-01,89.60000000000001,27.02258064516129,16.15806451612903
2010-11-01,61.4,28.673333333333336,17.790000000000003
2010-12-01,137.8,30.248387096774195,20.37741935483871
2011-01-01,217.8,30.970967741935485,20.51290322580645
2011-02-01,198.0,32.392857142857146,19.63214285714286
2011-03-01,222.4,27.641935483870967,19.1
2011-04-01,160.79999999999998,28.133333333333333,17.44
2011-05-01,38.8,24.574193548387097,13.158064516129032
2011-06-01,40.0,23.11,9.363333333333333
2011-07-01,2.8,24.661290322580644,10.480645161290322
2011-08-01,28.799999999999997,26.674193548387095,12.629032258064516
2011-09-01,3.8000000000000003,27.87,12.646666666666667
2011-10-01,115.60000000000001,28.248387096774195,15.983870967741936
2011-11-01,131.2,27.689285714285717,15.603571428571428
2011-12-01,0.0,,
2012-01-01,0.0,,
2012-02-01,58.4,31.83125,19.2
2012-03-01,116.2,29.716129032258067,17.870967741935484
2012-04-01,116.4,27.790000000000003,17.63
2012-05-01,43.199999999999996,24.516129032258064,12.761290322580646
2012-06-01,121.39999999999999,23.66,13.526666666666667
2012-07-01,60.199999999999996,24.551612903225806,10.45483870967742
2012-08-01,9.6,26.293548387096774,11.416129032258064
2012-09-01,15.6,28.61,13.71
2012-10-01,89.0,31.10967741935484,16.861290322580647
2012-11-01,86.8,28.226666666666667,17.576666666666664
2012-12-01,313.0,31.73225806451613,20.30322580645161
2013-01-01,170.6,28.364516129032257,19.183870967741935
2013-02-01,240.2,30.571428571428573,19.2
2013-03-01,0.2,28.083333333333332,19.616666666666667
2013-04-01,0.0,25.35625,12.975
2013-05-01,53.2,25.01290322580645,13.754838709677419
2013-06-01,35.6,24.029999999999998,14.323333333333332
2013-07-01,59.800000000000004,23.351612903225806,11.193548387096774
2013-08-01,3.2,26.241935483870968,10.63225806451613
2013-09-01,40.0,27.826666666666664,13.886666666666667
2013-10-01,142.4,27.10967741935484,16.293548387096774
2013-11-01,145.4,28.543333333333333,17.563333333333333
2013-12-01,122.8,30.55483870967742,19.20967741935484
2014-01-01,153.0,33.65161290322581,18.812903225806455
2014-02-01,74.39999999999999,33.785714285714285,19.264285714285712
2014-03-01,105.39999999999999,30.687096774193545,18.625806451612902
2014-04-01,62.8,27.6,16.63
2014-05-01,20.0,25.84193548387097,12.935483870967742
2014-06-01,22.2,25.706666666666663,12.67
2014-07-01,29.6,24.029032258064515,11.429032258064517
2014-08-01,10.4,26.519354838709678,10.961290322580645
2014-09-01,51.0,29.216666666666665,14.303333333333335
2014-10-01,40.8,30.929032258064517,15.416129032258064
2014-11-01,156.8,29.84,18.266666666666666
2014-12-01,100.0,31.225806451612904,19.10967741935484
2015-01-01,146.0,33.832258064516125,19.983870967741936
2015-02-01,190.8,30.310714285714287,19.267857142857142
2015-03-01,139.8,28.787096774193547,19.070967741935487
2015-04-01,7.600000000000001,27.70344827586207,19.548275862068966
2015-05-01,0.0,24.70357142857143,18.34642857142857
2015-06-01,20.0,24.275000000000002,13.225
2015-07-01,31.0,24.470967741935485,13.129032258064516
2015-08-01,14.8,27.358064516129033,11.441935483870967
